quantile,country,year,rel_income,code,num,original
First decile,Switzerland,2020,3.1,D,1,D1:First decile
First decile,Cyprus,2005,3.5,D,1,D1:First decile
First decile,Cyprus,2006,3.6,D,1,D1:First decile
First decile,Cyprus,2007,3.6,D,1,D1:First decile
First decile,Cyprus,2008,3.7,D,1,D1:First decile
First decile,Cyprus,2009,3.7,D,1,D1:First decile
First decile,Cyprus,2010,3.5,D,1,D1:First decile
First decile,Cyprus,2011,3.6,D,1,D1:First decile
First decile,Cyprus,2012,3.5,D,1,D1:First decile
First decile,Cyprus,2013,3.5,D,1,D1:First decile
First decile,Cyprus,2014,3.3,D,1,D1:First decile
First decile,Cyprus,2015,3.3,D,1,D1:First decile
First decile,Cyprus,2016,3.4,D,1,D1:First decile
First decile,Cyprus,2017,3.7,D,1,D1:First decile
First decile,Cyprus,2018,3.8,D,1,D1:First decile
First decile,Cyprus,2019,3.7,D,1,D1:First decile
First decile,Cyprus,2020,3.7,D,1,D1:First decile
First decile,Cyprus,2021,3.8,D,1,D1:First decile
First decile,Czechia,2005,4.0,D,1,D1:First decile
First decile,Czechia,2006,4.2,D,1,D1:First decile
First decile,Czechia,2007,4.2,D,1,D1:First decile
First decile,Czechia,2008,4.2,D,1,D1:First decile
First decile,Czechia,2009,4.2,D,1,D1:First decile
First decile,Czechia,2010,4.1,D,1,D1:First decile
First decile,Czechia,2011,4.1,D,1,D1:First decile
First decile,Czechia,2012,4.1,D,1,D1:First decile
First decile,Czechia,2013,4.2,D,1,D1:First decile
First decile,Czechia,2014,4.2,D,1,D1:First decile
First decile,Czechia,2015,4.1,D,1,D1:First decile
First decile,Czechia,2016,4.1,D,1,D1:First decile
First decile,Czechia,2017,4.3,D,1,D1:First decile
First decile,Czechia,2018,4.3,D,1,D1:First decile
First decile,Czechia,2019,4.3,D,1,D1:First decile
First decile,Czechia,2020,4.4,D,1,D1:First decile
First decile,Czechia,2021,4.3,D,1,D1:First decile
First decile,Germany (until 1990 former territory of the FRG),1995,3.0,D,1,D1:First decile
First decile,Germany (until 1990 former territory of the FRG),1996,3.0,D,1,D1:First decile
First decile,Germany (until 1990 former territory of the FRG),1997,4.0,D,1,D1:First decile
First decile,Germany (until 1990 former territory of the FRG),1998,4.0,D,1,D1:First decile
First decile,Germany (until 1990 former territory of the FRG),1999,4.0,D,1,D1:First decile
First decile,Germany (until 1990 former territory of the FRG),2000,4.0,D,1,D1:First decile
First decile,Germany (until 1990 former territory of the FRG),2001,4.0,D,1,D1:First decile
First decile,Germany (until 1990 former territory of the FRG),2005,3.7,D,1,D1:First decile
First decile,Germany (until 1990 former territory of the FRG),2006,3.1,D,1,D1:First decile
First decile,Germany (until 1990 former territory of the FRG),2007,2.6,D,1,D1:First decile
First decile,Germany (until 1990 former territory of the FRG),2008,3.0,D,1,D1:First decile
First decile,Germany (until 1990 former territory of the FRG),2009,3.3,D,1,D1:First decile
First decile,Germany (until 1990 former territory of the FRG),2010,3.3,D,1,D1:First decile
First decile,Germany (until 1990 former territory of the FRG),2011,3.2,D,1,D1:First decile
First decile,Germany (until 1990 former territory of the FRG),2012,3.4,D,1,D1:First decile
First decile,Germany (until 1990 former territory of the FRG),2013,3.2,D,1,D1:First decile
First decile,Germany (until 1990 former territory of the FRG),2014,2.4,D,1,D1:First decile
First decile,Germany (until 1990 former territory of the FRG),2015,2.9,D,1,D1:First decile
First decile,Germany (until 1990 former territory of the FRG),2016,3.1,D,1,D1:First decile
First decile,Germany (until 1990 former territory of the FRG),2017,3.2,D,1,D1:First decile
First decile,Germany (until 1990 former territory of the FRG),2018,2.5,D,1,D1:First decile
First decile,Germany (until 1990 former territory of the FRG),2019,2.3,D,1,D1:First decile
First decile,Germany (until 1990 former territory of the FRG),2020,2.9,D,1,D1:First decile
First decile,Germany (until 1990 former territory of the FRG),2021,3.0,D,1,D1:First decile
First decile,Denmark,2003,3.6,D,1,D1:First decile
First decile,Denmark,2004,3.8,D,1,D1:First decile
First decile,Denmark,2005,3.4,D,1,D1:First decile
First decile,Denmark,2006,3.6,D,1,D1:First decile
First decile,Denmark,2007,3.2,D,1,D1:First decile
First decile,Denmark,2008,3.6,D,1,D1:First decile
First decile,Denmark,2009,1.4,D,1,D1:First decile
First decile,Denmark,2010,1.9,D,1,D1:First decile
First decile,Denmark,2011,3.1,D,1,D1:First decile
First decile,Denmark,2012,3.2,D,1,D1:First decile
First decile,Denmark,2013,3.1,D,1,D1:First decile
First decile,Denmark,2014,3.2,D,1,D1:First decile
First decile,Denmark,2015,3.2,D,1,D1:First decile
First decile,Denmark,2016,3.3,D,1,D1:First decile
First decile,Denmark,2017,3.3,D,1,D1:First decile
First decile,Denmark,2018,3.3,D,1,D1:First decile
First decile,Denmark,2019,3.3,D,1,D1:First decile
First decile,Denmark,2020,3.4,D,1,D1:First decile
First decile,Denmark,2021,3.5,D,1,D1:First decile
First decile,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2008,3.0,D,1,D1:First decile
First decile,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2009,3.1,D,1,D1:First decile
First decile,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2010,3.0,D,1,D1:First decile
First decile,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2011,2.9,D,1,D1:First decile
First decile,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2012,3.0,D,1,D1:First decile
First decile,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2013,2.9,D,1,D1:First decile
First decile,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2014,2.7,D,1,D1:First decile
First decile,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2015,2.8,D,1,D1:First decile
First decile,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2016,2.8,D,1,D1:First decile
First decile,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2017,2.8,D,1,D1:First decile
First decile,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2018,2.8,D,1,D1:First decile
First decile,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2019,2.8,D,1,D1:First decile
First decile,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2020,2.9,D,1,D1:First decile
First decile,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2021,2.9,D,1,D1:First decile
First decile,Euro area - 12 countries (2001-2006),1995,3.0,D,1,D1:First decile
First decile,Euro area - 12 countries (2001-2006),1996,3.0,D,1,D1:First decile
First decile,Euro area - 12 countries (2001-2006),1997,3.0,D,1,D1:First decile
First decile,Euro area - 12 countries (2001-2006),1998,3.0,D,1,D1:First decile
First decile,Euro area - 12 countries (2001-2006),1999,3.0,D,1,D1:First decile
First decile,Euro area - 12 countries (2001-2006),2000,3.0,D,1,D1:First decile
First decile,Euro area - 12 countries (2001-2006),2001,3.0,D,1,D1:First decile
First decile,Euro area - 18 countries (2014),2004,2.9,D,1,D1:First decile
First decile,Euro area - 18 countries (2014),2005,3.2,D,1,D1:First decile
First decile,Euro area - 18 countries (2014),2006,3.1,D,1,D1:First decile
First decile,Euro area - 18 countries (2014),2007,3.0,D,1,D1:First decile
First decile,Euro area - 18 countries (2014),2008,3.0,D,1,D1:First decile
First decile,Euro area - 18 countries (2014),2009,3.1,D,1,D1:First decile
First decile,Euro area - 18 countries (2014),2010,3.0,D,1,D1:First decile
First decile,Euro area - 18 countries (2014),2011,2.9,D,1,D1:First decile
First decile,Euro area - 18 countries (2014),2012,3.0,D,1,D1:First decile
First decile,Euro area - 18 countries (2014),2013,2.9,D,1,D1:First decile
First decile,Euro area - 18 countries (2014),2014,2.7,D,1,D1:First decile
First decile,Euro area - 18 countries (2014),2015,2.8,D,1,D1:First decile
First decile,Euro area - 18 countries (2014),2016,2.8,D,1,D1:First decile
First decile,Euro area - 18 countries (2014),2017,2.8,D,1,D1:First decile
First decile,Euro area - 18 countries (2014),2018,2.8,D,1,D1:First decile
First decile,Euro area - 18 countries (2014),2019,2.8,D,1,D1:First decile
First decile,Euro area - 18 countries (2014),2020,2.9,D,1,D1:First decile
First decile,Euro area - 19 countries  (2015-2022),2004,2.9,D,1,D1:First decile
First decile,Euro area - 19 countries  (2015-2022),2005,3.2,D,1,D1:First decile
First decile,Euro area - 19 countries  (2015-2022),2006,3.1,D,1,D1:First decile
First decile,Euro area - 19 countries  (2015-2022),2007,3.0,D,1,D1:First decile
First decile,Euro area - 19 countries  (2015-2022),2008,3.0,D,1,D1:First decile
First decile,Euro area - 19 countries  (2015-2022),2009,3.1,D,1,D1:First decile
First decile,Euro area - 19 countries  (2015-2022),2010,3.0,D,1,D1:First decile
First decile,Euro area - 19 countries  (2015-2022),2011,2.9,D,1,D1:First decile
First decile,Euro area - 19 countries  (2015-2022),2012,3.0,D,1,D1:First decile
First decile,Euro area - 19 countries  (2015-2022),2013,2.9,D,1,D1:First decile
First decile,Euro area - 19 countries  (2015-2022),2014,2.7,D,1,D1:First decile
First decile,Euro area - 19 countries  (2015-2022),2015,2.8,D,1,D1:First decile
First decile,Euro area - 19 countries  (2015-2022),2016,2.8,D,1,D1:First decile
First decile,Euro area - 19 countries  (2015-2022),2017,2.8,D,1,D1:First decile
First decile,Euro area - 19 countries  (2015-2022),2018,2.8,D,1,D1:First decile
First decile,Euro area - 19 countries  (2015-2022),2019,2.8,D,1,D1:First decile
First decile,Euro area - 19 countries  (2015-2022),2020,2.9,D,1,D1:First decile
First decile,Euro area - 19 countries  (2015-2022),2021,2.9,D,1,D1:First decile
First decile,Estonia,2004,1.9,D,1,D1:First decile
First decile,Estonia,2005,2.4,D,1,D1:First decile
First decile,Estonia,2006,2.7,D,1,D1:First decile
First decile,Estonia,2007,2.8,D,1,D1:First decile
First decile,Estonia,2008,3.0,D,1,D1:First decile
First decile,Estonia,2009,3.0,D,1,D1:First decile
First decile,Estonia,2010,2.9,D,1,D1:First decile
First decile,Estonia,2011,2.6,D,1,D1:First decile
First decile,Estonia,2012,2.6,D,1,D1:First decile
First decile,Estonia,2013,2.6,D,1,D1:First decile
First decile,Estonia,2014,2.2,D,1,D1:First decile
First decile,Estonia,2015,2.3,D,1,D1:First decile
First decile,Estonia,2016,2.7,D,1,D1:First decile
First decile,Estonia,2017,2.5,D,1,D1:First decile
First decile,Estonia,2018,2.8,D,1,D1:First decile
First decile,Estonia,2019,2.8,D,1,D1:First decile
First decile,Estonia,2020,2.9,D,1,D1:First decile
First decile,Estonia,2021,2.9,D,1,D1:First decile
First decile,Greece,1995,2.0,D,1,D1:First decile
First decile,Greece,1996,2.0,D,1,D1:First decile
First decile,Greece,1997,2.0,D,1,D1:First decile
First decile,Greece,1998,2.0,D,1,D1:First decile
First decile,Greece,1999,2.0,D,1,D1:First decile
First decile,Greece,2000,3.0,D,1,D1:First decile
First decile,Greece,2001,3.0,D,1,D1:First decile
First decile,Greece,2003,2.2,D,1,D1:First decile
First decile,Greece,2004,2.0,D,1,D1:First decile
First decile,Greece,2005,2.5,D,1,D1:First decile
First decile,Greece,2006,2.4,D,1,D1:First decile
First decile,Greece,2007,2.4,D,1,D1:First decile
First decile,Greece,2008,2.4,D,1,D1:First decile
First decile,Greece,2009,2.4,D,1,D1:First decile
First decile,Greece,2010,2.6,D,1,D1:First decile
First decile,Greece,2011,2.3,D,1,D1:First decile
First decile,Greece,2012,1.8,D,1,D1:First decile
First decile,Greece,2013,2.0,D,1,D1:First decile
First decile,Greece,2014,2.2,D,1,D1:First decile
First decile,Greece,2015,1.9,D,1,D1:First decile
First decile,Greece,2016,2.0,D,1,D1:First decile
First decile,Greece,2017,2.2,D,1,D1:First decile
First decile,Greece,2018,2.5,D,1,D1:First decile
First decile,Greece,2019,2.7,D,1,D1:First decile
First decile,Greece,2020,2.6,D,1,D1:First decile
First decile,Greece,2021,2.1,D,1,D1:First decile
First decile,Spain,1995,2.0,D,1,D1:First decile
First decile,Spain,1996,2.0,D,1,D1:First decile
First decile,Spain,1997,2.0,D,1,D1:First decile
First decile,Spain,1998,2.0,D,1,D1:First decile
First decile,Spain,1999,3.0,D,1,D1:First decile
First decile,Spain,2000,3.0,D,1,D1:First decile
First decile,Spain,2001,3.0,D,1,D1:First decile
First decile,Spain,2004,2.6,D,1,D1:First decile
First decile,Spain,2005,2.5,D,1,D1:First decile
First decile,Spain,2006,2.4,D,1,D1:First decile
First decile,Spain,2007,2.4,D,1,D1:First decile
First decile,Spain,2008,2.5,D,1,D1:First decile
First decile,Spain,2009,2.2,D,1,D1:First decile
First decile,Spain,2010,2.1,D,1,D1:First decile
First decile,Spain,2011,2.0,D,1,D1:First decile
First decile,Spain,2012,1.9,D,1,D1:First decile
First decile,Spain,2013,1.9,D,1,D1:First decile
First decile,Spain,2014,1.8,D,1,D1:First decile
First decile,Spain,2015,1.7,D,1,D1:First decile
First decile,Spain,2016,2.0,D,1,D1:First decile
First decile,Spain,2017,1.9,D,1,D1:First decile
First decile,Spain,2018,2.2,D,1,D1:First decile
First decile,Spain,2019,2.2,D,1,D1:First decile
First decile,Spain,2020,2.2,D,1,D1:First decile
First decile,Spain,2021,2.0,D,1,D1:First decile
First decile,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2008,3.0,D,1,D1:First decile
First decile,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2009,3.0,D,1,D1:First decile
First decile,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2010,3.0,D,1,D1:First decile
First decile,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2011,2.9,D,1,D1:First decile
First decile,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2012,3.0,D,1,D1:First decile
First decile,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2013,2.9,D,1,D1:First decile
First decile,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2014,2.8,D,1,D1:First decile
First decile,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2015,2.8,D,1,D1:First decile
First decile,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2016,2.8,D,1,D1:First decile
First decile,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2017,2.8,D,1,D1:First decile
First decile,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2018,2.8,D,1,D1:First decile
First decile,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2019,2.8,D,1,D1:First decile
First decile,European Union - 15 countries (1995-2004),1995,3.0,D,1,D1:First decile
First decile,European Union - 15 countries (1995-2004),1996,3.0,D,1,D1:First decile
First decile,European Union - 15 countries (1995-2004),1997,3.0,D,1,D1:First decile
First decile,European Union - 15 countries (1995-2004),1998,3.0,D,1,D1:First decile
First decile,European Union - 15 countries (1995-2004),1999,3.0,D,1,D1:First decile
First decile,European Union - 15 countries (1995-2004),2000,3.0,D,1,D1:First decile
First decile,European Union - 15 countries (1995-2004),2001,3.0,D,1,D1:First decile
First decile,European Union - 27 countries (2007-2013),2005,3.1,D,1,D1:First decile
First decile,European Union - 27 countries (2007-2013),2006,3.0,D,1,D1:First decile
First decile,European Union - 27 countries (2007-2013),2007,2.9,D,1,D1:First decile
First decile,European Union - 27 countries (2007-2013),2008,3.0,D,1,D1:First decile
First decile,European Union - 27 countries (2007-2013),2009,3.0,D,1,D1:First decile
First decile,European Union - 27 countries (2007-2013),2010,3.0,D,1,D1:First decile
First decile,European Union - 27 countries (2007-2013),2011,2.9,D,1,D1:First decile
First decile,European Union - 27 countries (2007-2013),2012,3.0,D,1,D1:First decile
First decile,European Union - 27 countries (2007-2013),2013,2.9,D,1,D1:First decile
First decile,European Union - 27 countries (2007-2013),2014,2.8,D,1,D1:First decile
First decile,European Union - 27 countries (2007-2013),2015,2.8,D,1,D1:First decile
First decile,European Union - 27 countries (2007-2013),2016,2.8,D,1,D1:First decile
First decile,European Union - 27 countries (2007-2013),2017,2.8,D,1,D1:First decile
First decile,European Union - 27 countries (2007-2013),2018,2.8,D,1,D1:First decile
First decile,European Union - 27 countries (2007-2013),2019,2.8,D,1,D1:First decile
First decile,European Union - 27 countries (from 2020),2010,3.0,D,1,D1:First decile
First decile,European Union - 27 countries (from 2020),2011,2.9,D,1,D1:First decile
First decile,European Union - 27 countries (from 2020),2012,3.0,D,1,D1:First decile
First decile,European Union - 27 countries (from 2020),2013,2.9,D,1,D1:First decile
First decile,European Union - 27 countries (from 2020),2014,2.7,D,1,D1:First decile
First decile,European Union - 27 countries (from 2020),2015,2.8,D,1,D1:First decile
First decile,European Union - 27 countries (from 2020),2016,2.8,D,1,D1:First decile
First decile,European Union - 27 countries (from 2020),2017,2.9,D,1,D1:First decile
First decile,European Union - 27 countries (from 2020),2018,2.8,D,1,D1:First decile
First decile,European Union - 27 countries (from 2020),2019,2.8,D,1,D1:First decile
First decile,European Union - 27 countries (from 2020),2020,2.9,D,1,D1:First decile
First decile,European Union - 27 countries (from 2020),2021,2.9,D,1,D1:First decile
First decile,European Union - 28 countries (2013-2020),2010,3.0,D,1,D1:First decile
First decile,European Union - 28 countries (2013-2020),2011,2.9,D,1,D1:First decile
First decile,European Union - 28 countries (2013-2020),2012,3.0,D,1,D1:First decile
First decile,European Union - 28 countries (2013-2020),2013,2.9,D,1,D1:First decile
First decile,European Union - 28 countries (2013-2020),2014,2.8,D,1,D1:First decile
First decile,European Union - 28 countries (2013-2020),2015,2.8,D,1,D1:First decile
First decile,European Union - 28 countries (2013-2020),2016,2.8,D,1,D1:First decile
First decile,European Union - 28 countries (2013-2020),2017,2.8,D,1,D1:First decile
First decile,European Union - 28 countries (2013-2020),2018,2.8,D,1,D1:First decile
First decile,European Union - 28 countries (2013-2020),2019,2.8,D,1,D1:First decile
First decile,Finland,1996,5.0,D,1,D1:First decile
First decile,Finland,1997,5.0,D,1,D1:First decile
First decile,Finland,1998,4.0,D,1,D1:First decile
First decile,Finland,1999,4.0,D,1,D1:First decile
First decile,Finland,2000,4.0,D,1,D1:First decile
First decile,Finland,2001,4.0,D,1,D1:First decile
First decile,Finland,2004,4.2,D,1,D1:First decile
First decile,Finland,2005,4.1,D,1,D1:First decile
First decile,Finland,2006,4.1,D,1,D1:First decile
First decile,Finland,2007,4.1,D,1,D1:First decile
First decile,Finland,2008,4.0,D,1,D1:First decile
First decile,Finland,2009,4.0,D,1,D1:First decile
First decile,Finland,2010,4.1,D,1,D1:First decile
First decile,Finland,2011,4.0,D,1,D1:First decile
First decile,Finland,2012,4.0,D,1,D1:First decile
First decile,Finland,2013,4.1,D,1,D1:First decile
First decile,Finland,2014,4.1,D,1,D1:First decile
First decile,Finland,2015,4.1,D,1,D1:First decile
First decile,Finland,2016,4.1,D,1,D1:First decile
First decile,Finland,2017,4.2,D,1,D1:First decile
First decile,Finland,2018,4.1,D,1,D1:First decile
First decile,Finland,2019,4.1,D,1,D1:First decile
First decile,Finland,2020,4.2,D,1,D1:First decile
First decile,Finland,2021,4.3,D,1,D1:First decile
First decile,France,1995,3.0,D,1,D1:First decile
First decile,France,1996,3.0,D,1,D1:First decile
First decile,France,1997,3.0,D,1,D1:First decile
First decile,France,1998,3.0,D,1,D1:First decile
First decile,France,1999,4.0,D,1,D1:First decile
First decile,France,2000,4.0,D,1,D1:First decile
First decile,France,2001,4.0,D,1,D1:First decile
First decile,France,2004,3.6,D,1,D1:First decile
First decile,France,2005,3.8,D,1,D1:First decile
First decile,France,2006,3.7,D,1,D1:First decile
First decile,France,2007,3.8,D,1,D1:First decile
First decile,France,2008,3.6,D,1,D1:First decile
First decile,France,2009,3.6,D,1,D1:First decile
First decile,France,2010,3.5,D,1,D1:First decile
First decile,France,2011,3.5,D,1,D1:First decile
First decile,France,2012,3.6,D,1,D1:First decile
First decile,France,2013,3.5,D,1,D1:First decile
First decile,France,2014,3.7,D,1,D1:First decile
First decile,France,2015,3.7,D,1,D1:First decile
First decile,France,2016,3.6,D,1,D1:First decile
First decile,France,2017,3.4,D,1,D1:First decile
First decile,France,2018,3.5,D,1,D1:First decile
First decile,France,2019,3.7,D,1,D1:First decile
First decile,France,2020,3.3,D,1,D1:First decile
First decile,France,2021,3.3,D,1,D1:First decile
First decile,Croatia,2010,2.5,D,1,D1:First decile
First decile,Croatia,2011,2.5,D,1,D1:First decile
First decile,Croatia,2012,2.6,D,1,D1:First decile
First decile,Croatia,2013,2.6,D,1,D1:First decile
First decile,Croatia,2014,2.7,D,1,D1:First decile
First decile,Croatia,2015,2.6,D,1,D1:First decile
First decile,Croatia,2016,2.7,D,1,D1:First decile
First decile,Croatia,2017,2.7,D,1,D1:First decile
First decile,Croatia,2018,2.6,D,1,D1:First decile
First decile,Croatia,2019,2.9,D,1,D1:First decile
First decile,Croatia,2020,2.9,D,1,D1:First decile
First decile,Croatia,2021,2.8,D,1,D1:First decile
First decile,Hungary,2005,3.7,D,1,D1:First decile
First decile,Hungary,2006,2.6,D,1,D1:First decile
First decile,Hungary,2007,3.9,D,1,D1:First decile
First decile,Hungary,2008,4.0,D,1,D1:First decile
First decile,Hungary,2009,4.1,D,1,D1:First decile
First decile,Hungary,2010,4.2,D,1,D1:First decile
First decile,Hungary,2011,3.8,D,1,D1:First decile
