perc,year,rel_income,country
0.1,2010,4.1,Czechia
0.1,2011,4.1,Czechia
0.1,2012,4.1,Czechia
0.1,2013,4.2,Czechia
0.1,2014,4.2,Czechia
0.1,2015,4.1,Czechia
0.1,2016,4.1,Czechia
0.1,2017,4.3,Czechia
0.1,2018,4.3,Czechia
0.1,2019,4.3,Czechia
0.1,2020,4.4,Czechia
0.1,2021,4.3,Czechia
0.1,1995,3.0,Germany (until 1990 former territory of the FRG)
0.1,1996,3.0,Germany (until 1990 former territory of the FRG)
0.1,1997,4.0,Germany (until 1990 former territory of the FRG)
0.1,1998,4.0,Germany (until 1990 former territory of the FRG)
0.1,1999,4.0,Germany (until 1990 former territory of the FRG)
0.1,2000,4.0,Germany (until 1990 former territory of the FRG)
0.1,2001,4.0,Germany (until 1990 former territory of the FRG)
0.1,2005,3.7,Germany (until 1990 former territory of the FRG)
0.1,2006,3.1,Germany (until 1990 former territory of the FRG)
0.1,2007,2.6,Germany (until 1990 former territory of the FRG)
0.1,2008,3.0,Germany (until 1990 former territory of the FRG)
0.1,2009,3.3,Germany (until 1990 former territory of the FRG)
0.1,2010,3.3,Germany (until 1990 former territory of the FRG)
0.1,2011,3.2,Germany (until 1990 former territory of the FRG)
0.1,2012,3.4,Germany (until 1990 former territory of the FRG)
0.1,2013,3.2,Germany (until 1990 former territory of the FRG)
0.1,2014,2.4,Germany (until 1990 former territory of the FRG)
0.1,2015,2.9,Germany (until 1990 former territory of the FRG)
0.1,2016,3.1,Germany (until 1990 former territory of the FRG)
0.1,2017,3.2,Germany (until 1990 former territory of the FRG)
0.1,2018,2.5,Germany (until 1990 former territory of the FRG)
0.1,2019,2.3,Germany (until 1990 former territory of the FRG)
0.1,2020,2.9,Germany (until 1990 former territory of the FRG)
0.1,2021,3.0,Germany (until 1990 former territory of the FRG)
0.1,2003,3.6,Denmark
0.1,2004,3.8,Denmark
0.1,2005,3.4,Denmark
0.1,2006,3.6,Denmark
0.1,2007,3.2,Denmark
0.1,2008,3.6,Denmark
0.1,2009,1.4,Denmark
0.1,2010,1.9,Denmark
0.1,2011,3.1,Denmark
0.1,2012,3.2,Denmark
0.1,2013,3.1,Denmark
0.1,2014,3.2,Denmark
0.1,2015,3.2,Denmark
0.1,2016,3.3,Denmark
0.1,2017,3.3,Denmark
0.1,2018,3.3,Denmark
0.1,2019,3.3,Denmark
0.1,2020,3.4,Denmark
0.1,2021,3.5,Denmark
0.1,2008,3.0,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)"
0.1,2009,3.1,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)"
0.1,2010,3.0,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)"
0.1,2011,2.9,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)"
0.1,2012,3.0,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)"
0.1,2013,2.9,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)"
0.1,2014,2.7,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)"
0.1,2015,2.8,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)"
0.1,2016,2.8,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)"
0.1,2017,2.8,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)"
0.1,2018,2.8,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)"
0.1,2019,2.8,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)"
0.1,2020,2.9,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)"
0.1,2021,2.9,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)"
0.1,1995,3.0,Euro area - 12 countries (2001-2006)
0.1,1996,3.0,Euro area - 12 countries (2001-2006)
0.1,1997,3.0,Euro area - 12 countries (2001-2006)
0.1,1998,3.0,Euro area - 12 countries (2001-2006)
0.1,1999,3.0,Euro area - 12 countries (2001-2006)
0.1,2000,3.0,Euro area - 12 countries (2001-2006)
0.1,2001,3.0,Euro area - 12 countries (2001-2006)
0.1,2004,2.9,Euro area - 18 countries (2014)
0.1,2005,3.2,Euro area - 18 countries (2014)
0.1,2006,3.1,Euro area - 18 countries (2014)
0.1,2007,3.0,Euro area - 18 countries (2014)
0.1,2008,3.0,Euro area - 18 countries (2014)
0.1,2009,3.1,Euro area - 18 countries (2014)
0.1,2010,3.0,Euro area - 18 countries (2014)
0.1,2011,2.9,Euro area - 18 countries (2014)
0.1,2012,3.0,Euro area - 18 countries (2014)
0.1,2013,2.9,Euro area - 18 countries (2014)
0.1,2014,2.7,Euro area - 18 countries (2014)
0.1,2015,2.8,Euro area - 18 countries (2014)
0.1,2016,2.8,Euro area - 18 countries (2014)
0.1,2017,2.8,Euro area - 18 countries (2014)
0.1,2018,2.8,Euro area - 18 countries (2014)
0.1,2019,2.8,Euro area - 18 countries (2014)
0.1,2020,2.9,Euro area - 18 countries (2014)
0.1,2004,2.9,Euro area - 19 countries  (2015-2022)
0.1,2005,3.2,Euro area - 19 countries  (2015-2022)
0.1,2006,3.1,Euro area - 19 countries  (2015-2022)
0.1,2007,3.0,Euro area - 19 countries  (2015-2022)
0.1,2008,3.0,Euro area - 19 countries  (2015-2022)
0.1,2009,3.1,Euro area - 19 countries  (2015-2022)
0.1,2010,3.0,Euro area - 19 countries  (2015-2022)
0.1,2011,2.9,Euro area - 19 countries  (2015-2022)
0.1,2012,3.0,Euro area - 19 countries  (2015-2022)
0.1,2013,2.9,Euro area - 19 countries  (2015-2022)
0.1,2014,2.7,Euro area - 19 countries  (2015-2022)
0.1,2015,2.8,Euro area - 19 countries  (2015-2022)
0.1,2016,2.8,Euro area - 19 countries  (2015-2022)
0.1,2017,2.8,Euro area - 19 countries  (2015-2022)
0.1,2018,2.8,Euro area - 19 countries  (2015-2022)
0.1,2019,2.8,Euro area - 19 countries  (2015-2022)
0.1,2020,2.9,Euro area - 19 countries  (2015-2022)
0.1,2021,2.9,Euro area - 19 countries  (2015-2022)
0.1,2004,1.9,Estonia
0.1,2005,2.4,Estonia
0.1,2006,2.7,Estonia
0.1,2007,2.8,Estonia
0.1,2008,3.0,Estonia
0.1,2009,3.0,Estonia
0.1,2010,2.9,Estonia
0.1,2011,2.6,Estonia
0.1,2012,2.6,Estonia
0.1,2013,2.6,Estonia
0.1,2014,2.2,Estonia
0.1,2015,2.3,Estonia
0.1,2016,2.7,Estonia
0.1,2017,2.5,Estonia
0.1,2018,2.8,Estonia
0.1,2019,2.8,Estonia
0.1,2020,2.9,Estonia
0.1,2021,2.9,Estonia
0.1,1995,2.0,Greece
0.1,1996,2.0,Greece
0.1,1997,2.0,Greece
0.1,1998,2.0,Greece
0.1,1999,2.0,Greece
0.1,2000,3.0,Greece
0.1,2001,3.0,Greece
0.1,2003,2.2,Greece
0.1,2004,2.0,Greece
0.1,2005,2.5,Greece
0.1,2006,2.4,Greece
0.1,2007,2.4,Greece
0.1,2008,2.4,Greece
0.1,2009,2.4,Greece
0.1,2010,2.6,Greece
0.1,2011,2.3,Greece
0.1,2012,1.8,Greece
0.1,2013,2.0,Greece
0.1,2014,2.2,Greece
0.1,2015,1.9,Greece
0.1,2016,2.0,Greece
0.1,2017,2.2,Greece
0.1,2018,2.5,Greece
0.1,2019,2.7,Greece
0.1,2020,2.6,Greece
0.1,2021,2.1,Greece
0.1,1995,2.0,Spain
0.1,1996,2.0,Spain
0.1,1997,2.0,Spain
0.1,1998,2.0,Spain
0.1,1999,3.0,Spain
0.1,2000,3.0,Spain
0.1,2001,3.0,Spain
0.1,2004,2.6,Spain
0.1,2005,2.5,Spain
0.1,2006,2.4,Spain
0.1,2007,2.4,Spain
0.1,2008,2.5,Spain
0.1,2009,2.2,Spain
0.1,2010,2.1,Spain
0.1,2011,2.0,Spain
0.1,2012,1.9,Spain
0.1,2013,1.9,Spain
0.1,2014,1.8,Spain
0.1,2015,1.7,Spain
0.1,2016,2.0,Spain
0.1,2017,1.9,Spain
0.1,2018,2.2,Spain
0.1,2019,2.2,Spain
0.1,2020,2.2,Spain
0.1,2021,2.0,Spain
0.1,2008,3.0,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)"
0.1,2009,3.0,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)"
0.1,2010,3.0,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)"
0.1,2011,2.9,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)"
0.1,2012,3.0,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)"
0.1,2013,2.9,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)"
0.1,2014,2.8,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)"
0.1,2015,2.8,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)"
0.1,2016,2.8,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)"
0.1,2017,2.8,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)"
0.1,2018,2.8,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)"
0.1,2019,2.8,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)"
0.1,1995,3.0,European Union - 15 countries (1995-2004)
0.1,1996,3.0,European Union - 15 countries (1995-2004)
0.1,1997,3.0,European Union - 15 countries (1995-2004)
0.1,1998,3.0,European Union - 15 countries (1995-2004)
0.1,1999,3.0,European Union - 15 countries (1995-2004)
0.1,2000,3.0,European Union - 15 countries (1995-2004)
0.1,2001,3.0,European Union - 15 countries (1995-2004)
0.1,2005,3.1,European Union - 27 countries (2007-2013)
0.1,2006,3.0,European Union - 27 countries (2007-2013)
0.1,2007,2.9,European Union - 27 countries (2007-2013)
0.1,2008,3.0,European Union - 27 countries (2007-2013)
0.1,2009,3.0,European Union - 27 countries (2007-2013)
0.1,2010,3.0,European Union - 27 countries (2007-2013)
0.1,2011,2.9,European Union - 27 countries (2007-2013)
0.1,2012,3.0,European Union - 27 countries (2007-2013)
0.1,2013,2.9,European Union - 27 countries (2007-2013)
0.1,2014,2.8,European Union - 27 countries (2007-2013)
0.1,2015,2.8,European Union - 27 countries (2007-2013)
0.1,2016,2.8,European Union - 27 countries (2007-2013)
0.1,2017,2.8,European Union - 27 countries (2007-2013)
0.1,2018,2.8,European Union - 27 countries (2007-2013)
0.1,2019,2.8,European Union - 27 countries (2007-2013)
0.1,2010,3.0,European Union - 27 countries (from 2020)
0.1,2011,2.9,European Union - 27 countries (from 2020)
0.1,2012,3.0,European Union - 27 countries (from 2020)
0.1,2013,2.9,European Union - 27 countries (from 2020)
0.1,2014,2.7,European Union - 27 countries (from 2020)
0.1,2015,2.8,European Union - 27 countries (from 2020)
0.1,2016,2.8,European Union - 27 countries (from 2020)
0.1,2017,2.9,European Union - 27 countries (from 2020)
0.1,2018,2.8,European Union - 27 countries (from 2020)
0.1,2019,2.8,European Union - 27 countries (from 2020)
0.1,2020,2.9,European Union - 27 countries (from 2020)
0.1,2021,2.9,European Union - 27 countries (from 2020)
0.1,2010,3.0,European Union - 28 countries (2013-2020)
0.1,2011,2.9,European Union - 28 countries (2013-2020)
0.1,2012,3.0,European Union - 28 countries (2013-2020)
0.1,2013,2.9,European Union - 28 countries (2013-2020)
0.1,2014,2.8,European Union - 28 countries (2013-2020)
0.1,2015,2.8,European Union - 28 countries (2013-2020)
0.1,2016,2.8,European Union - 28 countries (2013-2020)
0.1,2017,2.8,European Union - 28 countries (2013-2020)
0.1,2018,2.8,European Union - 28 countries (2013-2020)
0.1,2019,2.8,European Union - 28 countries (2013-2020)
0.1,1996,5.0,Finland
0.1,1997,5.0,Finland
0.1,1998,4.0,Finland
0.1,1999,4.0,Finland
0.1,2000,4.0,Finland
0.1,2001,4.0,Finland
0.1,2004,4.2,Finland
0.1,2005,4.1,Finland
0.1,2006,4.1,Finland
0.1,2007,4.1,Finland
0.1,2008,4.0,Finland
0.1,2009,4.0,Finland
0.1,2010,4.1,Finland
0.1,2011,4.0,Finland
0.1,2012,4.0,Finland
0.1,2013,4.1,Finland
0.1,2014,4.1,Finland
0.1,2015,4.1,Finland
0.1,2016,4.1,Finland
0.1,2017,4.2,Finland
0.1,2018,4.1,Finland
0.1,2019,4.1,Finland
0.1,2020,4.2,Finland
0.1,2021,4.3,Finland
0.1,1995,3.0,France
0.1,1996,3.0,France
0.1,1997,3.0,France
0.1,1998,3.0,France
0.1,1999,4.0,France
0.1,2000,4.0,France
0.1,2001,4.0,France
0.1,2004,3.6,France
0.1,2005,3.8,France
0.1,2006,3.7,France
0.1,2007,3.8,France
0.1,2008,3.6,France
0.1,2009,3.6,France
0.1,2010,3.5,France
0.1,2011,3.5,France
0.1,2012,3.6,France
0.1,2013,3.5,France
0.1,2014,3.7,France
0.1,2015,3.7,France
0.1,2016,3.6,France
0.1,2017,3.4,France
0.1,2018,3.5,France
0.1,2019,3.7,France
0.1,2020,3.3,France
0.1,2021,3.3,France
0.1,2010,2.5,Croatia
0.1,2011,2.5,Croatia
0.1,2012,2.6,Croatia
0.1,2013,2.6,Croatia
0.1,2014,2.7,Croatia
0.1,2015,2.6,Croatia
0.1,2016,2.7,Croatia
0.1,2017,2.7,Croatia
0.1,2018,2.6,Croatia
0.1,2019,2.9,Croatia
0.1,2020,2.9,Croatia
0.1,2021,2.8,Croatia
0.1,2005,3.7,Hungary
0.1,2006,2.6,Hungary
0.1,2007,3.9,Hungary
0.1,2008,4.0,Hungary
0.1,2009,4.1,Hungary
0.1,2010,4.2,Hungary
0.1,2011,3.8,Hungary
0.1,2012,3.7,Hungary
0.1,2013,3.4,Hungary
0.1,2014,3.4,Hungary
0.1,2015,3.3,Hungary
0.1,2016,3.3,Hungary
0.1,2017,3.1,Hungary
0.1,2018,3.2,Hungary
0.1,2019,3.2,Hungary
0.1,2020,3.3,Hungary
0.1,2021,3.3,Hungary
0.1,1995,3.0,Ireland
0.1,1996,4.0,Ireland
0.1,1997,4.0,Ireland
0.1,1998,3.0,Ireland
0.1,1999,3.0,Ireland
0.1,2000,3.0,Ireland
0.1,2001,3.0,Ireland
0.1,2003,3.0,Ireland
0.1,2004,3.3,Ireland
0.1,2005,3.3,Ireland
0.1,2006,3.5,Ireland
0.1,2007,3.4,Ireland
0.1,2008,3.6,Ireland
0.1,2009,3.6,Ireland
0.1,2010,3.2,Ireland
0.1,2011,3.1,Ireland
0.1,2012,3.1,Ireland
0.1,2013,3.2,Ireland
0.1,2014,3.0,Ireland
0.1,2015,3.4,Ireland
0.1,2016,3.5,Ireland
0.1,2017,3.4,Ireland
0.1,2018,3.7,Ireland
0.1,2019,4.0,Ireland
0.1,2020,3.9,Ireland
0.1,2021,4.0,Ireland
0.1,2004,4.1,Iceland
0.1,2005,4.0,Iceland
0.1,2006,3.8,Iceland
0.1,2007,4.0,Iceland
0.1,2008,4.0,Iceland
0.1,2009,3.8,Iceland
0.1,2010,4.0,Iceland
0.1,2011,4.0,Iceland
0.1,2012,4.0,Iceland
0.1,2013,4.1,Iceland
0.1,2014,4.4,Iceland
0.1,2015,4.1,Iceland
0.1,2016,4.3,Iceland
0.1,2017,3.8,Iceland
0.1,2018,4.3,Iceland
0.1,1995,2.0,Italy
0.1,1996,2.0,Italy
0.1,1997,2.0,Italy
0.1,1998,3.0,Italy
0.1,1999,3.0,Italy
0.1,2000,3.0,Italy
0.1,2001,3.0,Italy
0.1,2004,2.5,Italy
0.1,2005,2.5,Italy
0.1,2006,2.5,Italy
0.1,2007,2.6,Italy
0.1,2008,2.6,Italy
0.1,2009,2.6,Italy
0.1,2010,2.5,Italy
0.1,2011,2.2,Italy
0.1,2012,2.3,Italy
0.1,2013,2.1,Italy
0.1,2014,2.1,Italy
0.1,2015,2.1,Italy
0.1,2016,1.8,Italy
0.1,2017,2.0,Italy
0.1,2018,2.0,Italy
0.1,2019,2.0,Italy
0.1,2020,2.2,Italy
0.1,2021,2.3,Italy
0.1,2005,2.2,Lithuania
0.1,2006,2.3,Lithuania
0.1,2007,2.5,Lithuania
0.1,2008,2.5,Lithuania
0.1,2009,2.4,Lithuania
0.1,2010,1.9,Lithuania
0.1,2011,2.3,Lithuania
0.1,2012,2.7,Lithuania
0.1,2013,2.6,Lithuania
0.1,2014,2.5,Lithuania
0.1,2015,2.2,Lithuania
0.1,2016,2.0,Lithuania
0.1,2017,2.1,Lithuania
0.1,2018,2.1,Lithuania
0.1,2019,2.3,Lithuania
0.1,2020,2.6,Lithuania
0.1,2021,2.6,Lithuania
0.1,1995,4.0,Luxembourg
0.1,1996,4.0,Luxembourg
0.1,1997,4.0,Luxembourg
0.1,1998,4.0,Luxembourg
0.1,1999,4.0,Luxembourg
0.1,2000,4.0,Luxembourg
0.1,2001,4.0,Luxembourg
0.1,2003,3.6,Luxembourg
0.1,2004,3.6,Luxembourg
0.1,2005,3.7,Luxembourg
0.1,2006,3.4,Luxembourg
0.1,2007,3.8,Luxembourg
0.1,2008,3.7,Luxembourg
0.1,2009,3.6,Luxembourg
0.1,2010,3.6,Luxembourg
0.1,2011,3.7,Luxembourg
0.1,2012,3.6,Luxembourg
0.1,2013,3.3,Luxembourg
0.1,2014,3.1,Luxembourg
0.1,2015,3.5,Luxembourg
0.1,2016,3.1,Luxembourg
0.1,2017,3.1,Luxembourg
0.1,2018,2.6,Luxembourg
0.1,2019,2.7,Luxembourg
0.1,2020,2.9,Luxembourg
0.1,2021,3.3,Luxembourg
0.1,2005,2.1,Latvia
0.1,2006,2.0,Latvia
0.1,2007,2.4,Latvia
0.1,2008,2.2,Latvia
0.1,2009,2.1,Latvia
0.1,2010,2.0,Latvia
0.1,2011,2.1,Latvia
0.1,2012,2.3,Latvia
0.1,2013,2.3,Latvia
0.1,2014,2.2,Latvia
0.1,2015,2.2,Latvia
0.1,2016,2.3,Latvia
0.1,2017,2.3,Latvia
0.1,2018,2.1,Latvia
0.1,2019,2.3,Latvia
0.1,2020,2.4,Latvia
0.1,2021,2.3,Latvia
0.1,2013,1.8,Montenegro
0.1,2014,2.0,Montenegro
0.1,2015,2.0,Montenegro
0.1,2016,2.1,Montenegro
0.1,2017,1.8,Montenegro
0.1,2018,1.5,Montenegro
0.1,2019,1.9,Montenegro
0.1,2020,2.4,Montenegro
0.1,2012,1.1,North Macedonia
0.1,2013,1.4,North Macedonia
0.1,2014,1.7,North Macedonia
0.1,2015,1.8,North Macedonia
0.1,2016,1.8,North Macedonia
0.1,2017,1.9,North Macedonia
0.1,2018,1.9,North Macedonia
0.1,2019,2.2,North Macedonia
0.1,2020,2.0,North Macedonia
0.1,2005,3.7,Malta
0.1,2006,3.5,Malta
0.1,2007,3.6,Malta
0.1,2008,3.3,Malta
0.1,2009,3.8,Malta
0.1,2010,3.4,Malta
0.1,2011,3.7,Malta
0.1,2012,3.8,Malta
0.1,2013,3.7,Malta
0.1,2014,3.8,Malta
0.1,2015,3.7,Malta
0.1,2016,3.7,Malta
0.1,2017,3.7,Malta
0.1,2018,3.6,Malta
0.1,2019,3.6,Malta
0.1,2020,3.3,Malta
0.1,2021,2.8,Malta
0.1,1995,3.0,Netherlands
0.1,1996,3.0,Netherlands
0.1,1997,4.0,Netherlands
0.1,1998,4.0,Netherlands
0.1,1999,4.0,Netherlands
0.1,2000,4.0,Netherlands
0.1,2001,4.0,Netherlands
0.1,2005,3.2,Netherlands
0.1,2006,3.5,Netherlands
0.1,2007,3.6,Netherlands
0.1,2008,3.5,Netherlands
0.1,2009,3.5,Netherlands
0.1,2010,3.8,Netherlands
0.1,2011,3.5,Netherlands
0.1,2012,3.8,Netherlands
0.1,2013,3.9,Netherlands
0.1,2014,3.5,Netherlands
0.1,2015,3.8,Netherlands
0.1,2016,3.6,Netherlands
0.1,2017,3.5,Netherlands
0.1,2018,3.4,Netherlands
0.1,2019,3.6,Netherlands
0.1,2020,3.5,Netherlands
0.1,2021,3.6,Netherlands
0.1,2003,3.9,Norway
0.1,2004,3.9,Norway
0.1,2005,3.6,Norway
0.1,2006,2.6,Norway
0.1,2007,3.3,Norway
0.1,2008,3.2,Norway
0.1,2009,3.7,Norway
0.1,2010,3.7,Norway
0.1,2011,3.8,Norway
0.1,2012,3.9,Norway
0.1,2013,3.9,Norway
0.1,2014,3.7,Norway
0.1,2015,3.6,Norway
0.1,2016,3.5,Norway
0.1,2017,3.2,Norway
0.1,2018,3.4,Norway
0.1,2019,3.3,Norway
0.1,2020,3.3,Norway
0.1,2005,2.2,Poland
0.1,2006,2.7,Poland
0.1,2007,2.9,Poland
0.1,2008,3.0,Poland
0.1,2009,3.1,Poland
0.1,2010,3.1,Poland
0.1,2011,3.0,Poland
0.1,2012,3.1,Poland
0.1,2013,3.1,Poland
0.1,2014,3.0,Poland
0.1,2015,3.0,Poland
0.1,2016,3.0,Poland
0.1,2017,3.1,Poland
0.1,2018,3.3,Poland
0.1,2019,3.2,Poland
0.1,2020,3.5,Poland
0.1,2021,3.5,Poland
0.1,1995,2.0,Portugal
0.1,1996,2.0,Portugal
0.1,1997,2.0,Portugal
0.1,1998,2.0,Portugal
0.1,1999,3.0,Portugal
0.1,2000,3.0,Portugal
0.1,2001,3.0,Portugal
0.1,2004,2.4,Portugal
0.1,2005,2.5,Portugal
0.1,2006,2.5,Portugal
0.1,2007,2.7,Portugal
0.1,2008,2.8,Portugal
0.1,2009,2.7,Portugal
0.1,2010,2.9,Portugal
0.1,2011,2.9,Portugal
0.1,2012,2.7,Portugal
0.1,2013,2.5,Portugal
0.1,2014,2.4,Portugal
0.1,2015,2.5,Portugal
0.1,2016,2.6,Portugal
0.1,2017,2.6,Portugal
0.1,2018,2.9,Portugal
0.1,2019,2.9,Portugal
0.1,2020,3.0,Portugal
0.1,2021,2.6,Portugal
0.1,2007,1.9,Romania
0.1,2008,2.1,Romania
0.1,2009,2.1,Romania
0.1,2010,2.4,Romania
0.1,2011,2.2,Romania
0.1,2012,2.0,Romania
0.1,2013,1.9,Romania
0.1,2014,1.8,Romania
0.1,2015,1.5,Romania
0.1,2016,1.8,Romania
0.1,2017,2.0,Romania
0.1,2018,1.7,Romania
0.1,2019,1.8,Romania
0.1,2020,1.9,Romania
0.1,2021,1.6,Romania
0.1,2013,1.4,Serbia
0.1,2014,1.0,Serbia
0.1,2015,0.8,Serbia
0.1,2016,0.5,Serbia
0.1,2017,1.0,Serbia
0.1,2018,0.8,Serbia
